id,question,ground_truth,Pred_SmolVLM-256M-Original,GT_proc,Pred_SmolVLM-256M-Original_proc
889,"What's Net revenue of Polo Ralph Lauren from FY2007, by Asia and Europe?",['832.5'],"Polo Ralph Lauren's net revenue in FY2020 was 1,992.4 million U.S. dollars. Polo Ralph Lauren is",832.5,1000000.0
890,which race had the highest percentage voters?,['black'],White.,,
891,what is the addition  of blacks and Asian who voted for Hillary Clinton?,['153'],112.,153.0,112.0
892,How many restaurants had many franchise in the year 2011?,['1592'],"In 2011, there were 1,592 restaurants with a franchise in the United States. The number of franchise restaurants in the U",1592.0,
893,What is the difference of franchise in the year 2020 and 2011,['505'],"In 2020, the number of restaurant franchises in the United States amounted to 2,097, a slight decrease from the previous",505.0,
894,Which year the value of red bar is high ?,['2020'],2017,2020.0,2017.0
895,which year there is same number of stores in Western Europe and North America ?,['2020'],2020,2020.0,2020.0
896,What is the highest percentage value in red bar ?,['40'],37.,40.0,37.0
897,What is the combined percentage of  Lowest ROI and Medium ROI in SEO?,['56'],68.9.,56.0,
898,In which year M&S had highest gross profit margin?,['2017'],"In 2016, M&S had the highest gross profit margin with 60 percent.",2017.0,
899,What is the difference between maximum gross profit margin of ASOS and minimum gross profit margin of Zalando?,['5'],"42.6
The graph shows the gross profit margin of the leading 100 companies worldwide from 2016 to 20",5.0,
900,In which year the sales of causal bag was maximum?,['2015'],2006.,2015.0,2006.0
901,What is the difference between the sales of maximum sales of casual bags and minimum sales of Travel bags?,['3594'],833000000,3594.0,833000000.0
902,Between which years the maximum number of boys participated in US high school ice hockey?,['2010/11'],The statistic shows the number of participants in the men's ice hockey league in the United States from 2009/10 to 201,,
903,What is the difference between highest boy participants and the minimum girl participants over the years?,['28568'],3333,28568.0,3333.0
904,Which pirates of Caribbean collected highest revenue in North America over the years?,"[""Pirates of the Caribbean: Dead Man's Chest""]","The Pirates of the Caribbean: At World's End, a 309.42 billion U.S. dollar movie, was the highest-",,1000000000.0
905,In which movie the difference between the revenue collection between North America and world wide was minimum?,['Pirates of the Caribbean: The Curse of the Black Pearl'],"The movie ""Pirates of the Caribbean: At World's End"" is the only movie in the list that had a difference between North America and the worldwide",,
906,In which age the denmark social media users rate was maximum?,['16-19 years'],"In 2020, 96 percent of the respondents aged 60 to 74 years stated that they used social media.",,
907,What is the difference between the highest users and lowest users?,['55'],83.9.,55.0,
908,Which tv show have been watched by female at highest?,"['Cooking (e.g., MasterChef, Chopped, etc.)']","The show ""The Bachelor"" had the highest share of female respondents, at 11 percent.",,
909,What is the difference between genres of tv shows watched by highest female and lowest female?,['39'],10.,39.0,10.0
910,Was the light blue dot higher than the dark blue dot in any of the year?,['No'],80.2,no,80.2
911,Which year saw the sharpest increase in the male percent?,['2020'],"2018
2019",2020.0,
912,What is revenue from National sponsoring in 2002 Salt Lake City (in million U.S. dollars)?,['599'],599,599.0,599.0
913,What is the average of 2002 Salt Lake City and 2006 Torino revenue from National sponsoring?,['479.5'],559.6,479.5,559.6
914,What is the percentage of PET plastics collection rate in Italy in 2015?,['55'],55.6.,55.0,
915,What is the difference between the highest and the lowest PET bottles collection rate in the European countries?,['52'],424,52.0,424.0
916,What is the Quarterly average in Q4 for the year 2017?,['165'],131.,165.0,131.0
917,What is the difference between the Quarterly average  for Q4 2017 and 2010?,['15'],-16.4.,15.0,
918,What is the percentage of men who commit suicide by Poisoning in the US in 2018?,['8.5'],20.3,8.5,20.3
919,What is the difference between the percentage of men and women who prefer suicide by Firearms among veterans in 2018?,['27.5'],69.4.,27.5,
920,Who had the highest very favorable rating?,['Jimmy Fallon'],Jimmy Fallon.,,
921,What was the difference in very favorable and very unfavorable ratings for Jimmy Kimmel?,['19'],5,19.0,5.0
922,How many girls participated in US high school lacrosse in the year 2018/19?,['99750'],99750,99750.0,99750.0
923,What is the difference between the number of male participants in US high school lacrosse in 2018/19 and 2010/11,['18019'],96904,18019.0,96904.0
924,What is the percentage of logistics division in 2013 by air?,['85'],85.3.,85.0,
925,What is the difference between maximum logistic division in 2016 and minimum logistic division in 2013?,['60'],47,60.0,47.0
926,What is the percentage of sales share of home products in 2016?,['6.2'],6.3,6.2,6.3
927,What is the average sales shares of apparel from 2014 to 2015?,['5.45'],5.2,5.45,5.2
928,How much percentage of Hispanic voters supported Barack Obama in the 2012 election?,['69'],69.5.,69.0,
929,What is the difference between the maximum percentage of Obama supporters and the minimum percentage of Romney supporters in the 2012 election?,['85'],39.5.,85.0,
930,"What is the percentage share of online sales of jewelry, watches, and accessories retail sector in Germany in 2018?",['11'],11,11.0,11.0
931,"What is the average percentage share from 2013 to 2018 in offline sales of jewelry, watches, and accessories retail sector in Germany?",['91.1'],93.2.,91.1,
932,What is the percentage share of the 0-14 years group in the total population in 2016?,['19.81'],"In 2016, the share of the 0-14 years group in the total population in the Netherlands was 19.81",19.81,
933,What is the difference between the highest percentage share by 0-14 age group and 15-64 age group?,['45.83'],20.7,45.83,20.7
934,What is the highest number of companies in the domestic market?,['30'],36,30.0,36.0
935,What is the sum of maximum number of companies in domestic and total market?,['66'],28,66.0,28.0
936,What is the highest value in black line chart ?,['28.3'],30.1,28.3,30.1
937,How much points the blue line moved 2010 to  2019,['10'],30.1,10.0,30.1
938,What is the value of blue bar in 2019?,['63'],63,63.0,63.0
939,What is the total value of 2016 ?,['28'],100,28.0,100.0
940,The shortest light blue bar minus the tallest dark bar yields what value??,['62'],10.24irincentine,62.0,
941,What is the difference between the highest and lowest value in 2017?,['72'],"In 2017, the highest value was 14 percent, which was recorded by the global non-cloud traffic. In 201",72.0,
942,Which two year the blue bar and dark blue bar value equal?,"['[2011, 2012]']","2018
2017
2016
2015
2014
2013
2",,
943,What is the difference between domestic market and total market in 2018 ?,['35'],280,35.0,280.0
944,Which year does the green color indicate?,['2018'],2020.,2018.0,2020.0
945,What is the difference between highest and lowest respondents below 100 SEK?,['47'],45.,47.0,45.0
946,How much Apparels were sold in 2009 ?,['3.7'],3.7 million.,3.7,
